Id;EntityCreatedAt;EntityModifiedAt;MRID;DocStatusValue;AttributeInstanceComponent;LongNames;DisplayNames;LastRequestDateAndOrTime;DeactivateRequestDateAndOrTime;MarketParticipantStreetAddressCountry;MarketParticipantACERCode;MarketParticipantVATcode;Description;EICParentMarketDocumentMRID;ELCResponsibleMarketParticipantMRID;IsDeleted;AllocatedEICID
50009;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100516--I;A05;International;150.42 BAUDOUR-TRIVIERES;BE42_BAUDO_TRIVI;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50010;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100517--E;A05;International;150.43 RUIEN-CHIEVRES;BE43_RUIEN_CHIEV;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50011;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100518--A;A05;International;150.286 BLATOR-BRUGGE;BE286_BLTOR_BRUG;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50012;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100519--6;A05;International;150.41 BAUDOUR-TRIVIERES;BE41_BAUDO_TRIVI;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50013;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100520--0;A05;International;150.44 ANTOING-RUIEN;BE44_ANTOI_RUIEN;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50014;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100521--X;A05;International;150.76 ANTOING-CHIEV;BE76_ANTOI_CHIEN;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50015;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100522--T;A05;International;150.83 GOUY-TRIVIERES;BE83_GOUY_TRIVI;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50016;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100523--P;A05;International;150.93 GOUY-TERGNEE;BE93_GOUY_TERGN;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50017;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100524--L;A05;International;150.94 GOUY-TERGNEE;BE94_GOUY_TERGN;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50018;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100525--H;A05;International;150.314 BAUDOUR-CHIEVRES;BE314_BAUDO_CHIE;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50019;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T2018100526--D;A05;International;150.35 GOUY-MONCEAU;BE35_GOUY_MONCE;2019-02-05 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
50020;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22T20190307----J;A05;International;150 BB BLTOR;BE_BB_BLTOR;2019-03-07 00:00:00.0000000;NULL;NULL;;NULL;NULL;NULL;10X1001A1001A094;0;3
